symbol,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
LAW,Công ty Cổ phần Cấp thoát nước Long An,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DSD,Công ty cổ phần DHC Suối Đôi,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
DKG,Công ty Cổ Phần Tập đoàn DamiK,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
LCC,Công ty Cổ phần Xi măng Hồng Phong,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
LCD,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
ECO,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
LQN,Công ty Cổ phần Licogi Quảng Ngãi,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
XDH,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LGL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HPX,Công ty Cổ phần Đầu tư Hải Phát,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HKT,Công ty Cổ phần Đầu tư QP Xanh,Bia và đồ uống,Thực phẩm và đồ uống,Đồ uống & giải khát,CT,3000,3500,3530,3537
LHG,Công ty Cổ phần Long Hậu,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DNN,Công ty Cổ phần Cấp nước Đà Nẵng,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
TAB,Công ty Cổ phần Freco Việt Nam,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
LIC,Tổng Công ty LICOGI - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
L12,Công ty Cổ phần Licogi 12,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Nhà cung cấp thiết bị,CT,2000,2700,2790,2797
LKW,Công ty Cổ phần Cấp nước Long Khánh,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
LM3,Công ty Cổ phần Lilama 3,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
BHH,Công ty Cổ Phần Thương Mại Bia Hà Nội - Hưng Yên 89,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
LM7,Công ty Cổ phần Lilama 7,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
LNC,Công ty Cổ phần Lệ Ninh,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
HFX,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
LO5,Công ty Cổ phần Lilama 5,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
API,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NO1,Công ty Cổ phần Tâp đoàn 911,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,Thiết bị và Phần cứng,Công nghệ Thông tin,Phần cứng,CT,9000,9500,9570,9572
HMH,Công ty Cổ phần Hải Minh,Vận tải,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT,2000,2700,2770,2779
LUT,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DCH,Công ty Cổ phần Địa chính Hà Nội,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT,8000,8600,8630,8637
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông di động,Viễn thông,Viễn thông di động,CT,6000,6500,6570,6575
CHC,Công ty Cổ phần Cẩm Hà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
APL,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
MAC,Công ty Cổ phần Tập đoàn Macstar,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Xe tải & Đóng tàu,CT,2000,2700,2750,2753
MA1,Công ty Cổ phần Thiết bị,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CKA,Công ty Cổ phần Cơ khí An Giang,Công nghiệp nặng,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT,2000,2700,2750,2757
AGP,Công ty Cổ phần Dược phẩm AGIMEXPHARM,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
HLA,Công ty Cổ phần Hữu Liên Á Châu,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
DPR,Công ty Cổ phần Cao su Đồng Phú,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
BMK,Công ty Cổ Phần Kỹ thuật Nhiệt Mèo Đen,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DSG,Công ty Cổ phần Kính Đáp Cầu,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MAS,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Du lịch & Giải trí,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT,5000,5700,5750,5759
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
APS,Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
HSV,Công ty Cổ phần Tập đoàn HSV Việt Nam,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
C69,Công ty Cổ phần Xây dựng 1369,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
MGR,Công ty cổ phần Tập đoàn MGROUP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
C21,Công ty Cổ phần Thế kỷ 21,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MDC,Công ty Cổ phần Than Mông Dương - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
CDN,Công ty Cổ phần Cảng Đà Nẵng,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
MEC,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
BLT,Công ty Cổ phần Lương thực Bình Định,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng gia dụng,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT,3000,3700,3720,3726
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
MEF,Công ty Cổ phần MEINFA,Thiết bị và Dịch vụ Y tế,Y tế,Dụng cụ y tế,CT,4000,4500,4530,4537
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
VMK,Công ty Cổ phần Vimarko,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
MIM,Công ty Cổ phần Khoáng sản và Cơ khí,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
CAG,Công ty Cổ phần Cảng An Giang,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
FOX,Công ty Cổ phần Viễn thông FPT,Viễn thông cố định,Viễn thông,Viễn thông cố định,CT,6000,6500,6530,6535
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
MZG,Công ty Cổ Phần Miza,Lâm nghiệp và Giấy,Tài nguyên Cơ bản,Sản xuất giấy,CT,1000,1700,1730,1737
PPT,Công ty cổ phần Petro Times,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
DRH,Công ty Cổ phần DRH Holdings,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
MKV,Công ty Cổ phần Dược Thú Y Cai Lậy,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DRL,Công ty Cổ phần Thủy điện - Điện lực 3,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
HIO,Công ty Cổ Phần Helio Energy,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
DSH,Công ty Cổ Phần Đầu tư Hạ tầng Đông Sơn,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
DSC,Công ty Cổ phần Chứng khoán DSC,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
MML,Công ty Cổ phần Masan MEATLife,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
TTE,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
DNT,Công ty Cổ phần Du lịch Đồng Nai,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Sản xuất thực phẩm,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT,3000,3500,3570,3573
HOM,Công ty Cổ phần Xi măng VICEM Hoàng Mai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
MPT,Công ty Cổ phần Tập đoàn MPT,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
MPY,Công ty Cổ phần Môi trường đô thị Phú Yên,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
CST,Công ty Cổ phần Than Cao Sơn - TKV,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
EVE,Công ty Cổ phần Everpia,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Dịch vụ Máy tính,CT,9000,9500,9530,9533
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
GCF,Công ty Cổ phần Thực phẩm G.C,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
BII,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
MST,Công ty Cổ phần Đầu tư MST,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MTG,Công ty Cổ phần MT Gas,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
EIC,Công ty Cổ phần EVN Quốc Tế,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
MTH,Công ty Cổ phần Môi trường Đô thị Hà Đông,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
NAU,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
MTP,Công ty Cổ phần Dược Medipharco,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
BIO,Công ty Cổ phần Vắc xin và Sinh phẩm Nha Trang,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
NDP,Công ty Cổ phần Dược phẩm 2/9,Dược phẩm,Y tế,Dược phẩm,CT,4000,4500,4570,4577
NAG,Công ty Cổ phần Tập đoàn Nagakawa,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
NJC,Công ty Cổ phần May Nam Định,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng May mặc,CT,3000,3700,3760,3763
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
NAC,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
FLC,Công ty Cổ phần Tập đoàn FLC,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
CRC,Công ty Cổ phần Create Capital Việt Nam,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
NAP,Công ty Cổ phần Cảng Nghệ Tĩnh,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
C4G,Công ty Cổ phần Tập Đoàn Cienco4,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,CT,5000,5300,5370,5373
NAV,Công ty Cổ phần Nam Việt,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
HES,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,Du lịch & Giải trí,Du lịch và Giải trí,Dịch vụ giải trí,CT,5000,5700,5750,5755
DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
NBB,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
NBC,Công ty Cổ phần Than Núi Béo - Vinacomin,Khai khoáng,Tài nguyên Cơ bản,Khai thác Than,CT,1000,1700,1770,1771
NBP,Công ty Cổ phần Nhiệt Điện Ninh Bình,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
BKC,Công ty Cổ phần Khoáng sản Bắc Kạn,Khai khoáng,Tài nguyên Cơ bản,Khai khoáng,CT,1000,1700,1770,1775
TRV,Công ty Cổ Phần Vận tải Đường sắt,Vận tải,Hàng & Dịch vụ Công nghiệp,Đường sắt,CT,2000,2700,2770,2775
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng gia dụng,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT,3000,3700,3720,3726
CYC,Công ty Cổ phần Gạch men Chang Yih,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT,2000,2300,2350,2353
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,CT,2000,2700,2790,2793
NBW,Công ty Cổ phần Cấp nước Nhà Bè,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
AGX,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn,Phân phối thực phẩm & dược phẩm,Bán lẻ,Phân phối thực phẩm,CT,5000,5300,5330,5337
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Vận tải,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT,2000,2700,2770,2777
MND,Công ty Cổ phần Môi trường Nam Định,Tư vấn & Hỗ trợ Kinh doanh,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT,2000,2700,2790,2799
NDF,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
HND,Công ty Cổ phần Nhiệt điện Hải Phòng,Sản xuất & Phân phối Điện,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT,7000,7500,7530,7535
NDN,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NDW,Công ty Cổ phần Cấp nước Nam Định,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Nước,CT,7000,7500,7570,7577
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
NED,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
C92,Công ty Cổ phần Xây dựng và Đầu tư 492,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,CT,2000,2300,2350,2357
D11,Công ty Cổ phần Địa ốc 11,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
NEM,Công ty Cổ phần Thiết bị Điện Miền Bắc,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT,2000,2700,2730,2737
EFI,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
DTT,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
NET,Công ty Cổ phần Bột giặt Net,Hàng cá nhân,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT,3000,3700,3760,3767
NRC,Công ty Cổ phần Tập đoàn NRC,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm phi nhân thọ,Bảo hiểm,Bảo hiểm phi nhân thọ,BH,8000,8500,8530,8536
NFC,Công ty Cổ phần Phân lân Ninh Bình,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,Điện tử & Thiết bị điện,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT,2000,2700,2730,2733
